Time,Latitude,Longitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
32.000000,37.233613,131.862560,7197.796526,87.217003,-3.257000,-12.725006
32.000000,37.233757,131.862459,7195.603795,87.115997,-3.473000,-11.885986
32.000000,37.233902,131.862361,7193.333950,87.014999,-3.688000,-11.045990
32.000000,37.234048,131.862265,7190.987294,86.914001,-3.901000,-10.204010
32.000000,37.234172,131.862187,7188.972871,86.830002,-4.078000,-9.501007
32.000000,37.234320,131.862097,7186.485398,86.728996,-4.289000,-8.654999
32.000000,37.234471,131.862008,7183.921421,86.627998,-4.499000,-7.808990
32.000000,37.234622,131.861923,7181.280938,86.528000,-4.707000,-6.959991
33.000000,37.234774,131.861840,7178.564561,86.427002,-4.915000,-6.109985
33.000000,37.234928,131.861761,7175.772288,86.327003,-5.121000,-5.256989
33.000000,37.235082,131.861684,7172.903815,86.227997,-5.325000,-4.403015
33.000000,37.235211,131.861621,7170.455357,86.144997,-5.495000,-3.691010
33.000000,37.235368,131.861549,7167.447286,86.045998,-5.696000,-2.835999
33.000000,37.235499,131.861492,7164.882089,85.962997,-5.863000,-2.125000
33.000000,37.235631,131.861435,7162.264162,85.879997,-6.029000,-1.415985
33.000000,37.235789,131.861370,7159.052789,85.778999,-6.227000,-0.569000
33.000000,37.235950,131.861309,7155.764606,85.677002,-6.422000,0.273000
33.000000,37.236083,131.861259,7152.966238,85.589996,-6.584000,0.970000
34.000000,37.236218,131.861211,7150.114834,85.501999,-6.745000,1.663000
34.000000,37.236379,131.861157,7146.623045,85.394997,-6.936000,2.487000
34.000000,37.236461,131.861130,7144.848499,85.339996,-7.030000,2.897000
34.000000,37.236624,131.861079,7141.242410,85.230003,-7.219000,3.710000
34.000000,37.236787,131.861030,7137.560122,85.119003,-7.405000,4.515000
34.000000,37.236924,131.860992,7134.434093,85.026001,-7.559000,5.182000
34.000000,37.237063,131.860956,7131.255638,84.933998,-7.712000,5.845000
34.000000,37.237228,131.860915,7127.372486,84.828003,-7.894000,6.639000
34.000000,37.237366,131.860883,7124.079732,84.744003,-8.045000,7.299000
34.000000,37.237505,131.860854,7120.734857,84.665001,-8.194000,7.959000
35.000000,37.237673,131.860821,7116.653280,84.574997,-8.372000,8.752000
35.000000,37.237841,131.860790,7112.497942,84.490997,-8.548000,9.546000
35.000000,37.237981,131.860766,7108.978721,84.425003,-8.694000,10.208000
35.000000,37.238150,131.860742,7104.688051,84.348999,-8.869000,11.006000
35.000000,37.238347,131.860716,7099.589966,84.264000,-9.072000,11.939000
35.000000,37.238488,131.860699,7095.887866,84.205002,-9.216000,12.608000
35.000000,37.238631,131.860685,7092.134863,84.148003,-9.360000,13.278000
35.000000,37.238829,131.860670,7086.795986,84.070999,-9.561000,14.221000
35.000000,37.238971,131.860660,7082.922283,84.017998,-9.704000,14.896000
35.000000,37.239171,131.860652,7077.414547,83.945999,-9.903000,15.846000
36.000000,37.239313,131.860648,7073.420753,83.897003,-10.045000,16.525999
36.000000,37.239485,131.860646,7068.561936,83.841003,-10.215000,17.346001
36.000000,37.239628,131.860647,7064.458109,83.794998,-10.356000,18.031000
36.000000,37.239800,131.860651,7059.468228,83.742996,-10.525000,18.856001
36.000000,37.239972,131.860657,7054.406719,83.694000,-10.693000,19.684999
36.000000,37.240115,131.860665,7050.134338,83.654999,-10.833000,20.378000
36.000000,37.240258,131.860675,7045.812578,83.617996,-10.972000,21.073000
36.000000,37.240430,131.860691,7040.561484,83.575996,-11.140000,21.910000
36.000000,37.240603,131.860709,7035.239371,83.536003,-11.307000,22.750000
36.000000,37.240746,131.860728,7030.750277,83.504997,-11.445000,23.452999
37.000000,37.240889,131.860747,7026.212110,83.475998,-11.584000,24.158001
37.000000,37.241032,131.860770,7021.624870,83.448997,-11.722000,24.865000
37.000000,37.241204,131.860800,7016.055564,83.418999,-11.888000,25.716999
37.000000,37.241375,131.860832,7010.415850,83.391998,-12.054000,26.572001
37.000000,37.241575,131.860875,7003.747130,83.363998,-12.247000,27.575001
37.000000,37.241718,131.860908,6998.925194,83.346001,-12.385000,28.292999
37.000000,37.241860,131.860943,6994.054490,83.330002,-12.523000,29.014999
37.000000,37.242031,131.860989,6988.145638,83.313004,-12.688000,29.882999
37.000000,37.242173,131.861030,6983.167644,83.301003,-12.826000,30.610001
37.000000,37.242342,131.861081,6977.129861,83.290001,-12.991000,31.486000
38.000000,37.242511,131.861135,6971.021974,83.281998,-13.156000,32.365002
38.000000,37.242680,131.861193,6964.843982,83.276001,-13.322000,33.247002
38.000000,37.242820,131.861244,6959.641961,83.274002,-13.460000,33.986000
